鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,6.28,商,,,1081126,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,122.75999999999999,2,2,1,有,無,18580000,191043,坡道平面,37.02,2200000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTPMLRJJHPFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,5.98,商,,,1081126,土地1建物1車位0,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,83.39,2,1,1,有,無,14270000,171124,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPUPMLRJJHPFFBA28CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,10.08,商,,,1081126,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,175.35000000000002,3,2,2,有,無,30500000,200969,坡道平面,37.02,2700000,土地及建物分次登記案件。前案土地登記收件字號：;,RPVPMLRJJHPFFBA38CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,4.97,商,,,1081126,土地1建物1車位0,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,69.28999999999999,2,1,1,有,無,13300000,191947,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPWPMLRJJHPFFBA48CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,6.55,商,,,1081126,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,126.46,2,1,1,有,無,18180000,175313,坡道平面,37.02,2500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPOQMLRJJHPFFBA77CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,6.41,商,,,1081126,土地1建物1車位0,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,89.43,2,1,1,有,無,16270000,181930,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPPQMLRJJHPFFBA87CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,6.21,商,,,1081126,土地1建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,98.69999999999999,2,1,1,有,無,16780000,181712,坡道機械,12.96,1200000,土地及建物分次登記案件。前案土地登記收件字號：;,RPQQMLRJJHPFFBA97CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,4.37,商,,,1081126,土地1建物1車位0,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,60.83,2,1,1,有,無,11400000,187408,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPSQMLRJJHPFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,4.47,商,,,1081126,土地1建物1車位0,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,62.339999999999996,2,1,1,有,無,11170000,179179,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPVQMLRJJHPFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,4.5,商,,,1081126,土地1建物1車位0,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,62.63,2,1,1,有,無,11930000,190484,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPXQMLRJJHPFFBA68CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,4.47,商,,,1081126,土地1建物1車位0,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,62.339999999999996,2,1,1,有,無,11880000,190568,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPORMLRJJHPFFBA87CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,4.54,商,,,1081126,土地1建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,75.31,2,1,1,有,無,12700000,189254,坡道機械,12.96,900000,土地及建物分次登記案件。前案土地登記收件字號：;,RPPRMLRJJHPFFBA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,5.04,商,,,1081126,土地1建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,82.25999999999999,2,1,1,有,無,13600000,183261,坡道機械,12.96,900000,土地及建物分次登記案件。前案土地登記收件字號：;,RPQRMLRJJHPFFBA08CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,6.41,商,,,1081126,土地1建物1車位0,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,89.43,2,1,1,有,無,16000000,178911,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPRRMLRJJHPFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,6.59,商,,,1081126,土地1建物1車位0,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,91.85,2,1,1,有,無,16000000,174197,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPSRMLRJJHPFFBA28CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,4.54,商,,,1081126,土地1建物1車位1,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,77.16999999999999,2,1,1,有,無,13360000,191851,坡道機械,14.83,1400000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTRMLRJJHPFFBA38CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,6.42,商,,,1081126,土地1建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,124.44,2,1,1,有,無,18450000,181309,坡道平面,37.02,2600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPOSMLRJJHPFFBA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,13.04,商,,,1081126,土地1建物1車位1,二十四層，見其他登記事項,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,216.66,0,0,0,無,無,37000000,189267,坡道平面,37.02,3000000,土地及建物分次登記案件。前案土地登記收件字號：;,RPPSMLRJJHPFFBA08CA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路91~120號,12.95,商,,,1081126,土地1建物1車位1,二十四層，見其他登記事項,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,214.59,0,0,0,無,無,37000000,191474,坡道平面,37.02,3000000,土地及建物分次登記案件。前案土地登記收件字號：;,RPQSMLRJJHPFFBA18CA
